cable_id,cable_name,lp_id,landing_point,country,landing_lat,landing_lon,capacity_mw,cable_type,install_year
2africa,2Africa,luanda-angola,"Luanda, Angola",Angola,,,,fiber_or_unknown,2024.0
2africa,2Africa,manama-bahrain,"Manama, Bahrain",Bahrain,,,,fiber_or_unknown,2024.0
2africa,2Africa,moroni-comoros,"Moroni, Comoros",Comoros,,,,fiber_or_unknown,2024.0
2africa,2Africa,muanda-congo-dem-rep-,"Muanda, Congo, Dem. Rep.","Congo, Dem. Rep.",,,,fiber_or_unknown,2024.0
2africa,2Africa,pointe-noire-congo-rep-,"Pointe-Noire, Congo, Rep.","Congo, Rep.",,,,fiber_or_unknown,2024.0
2africa,2Africa,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",Côte d'Ivoire,,,,fiber_or_unknown,2024.0
2africa,2Africa,djibouti-city-djibouti,"Djibouti City, Djibouti",Djibouti,,,,fiber_or_unknown,2024.0
2africa,2Africa,port-said-egypt,"Port Said, Egypt",Egypt,,,,fiber_or_unknown,2024.0
2africa,2Africa,ras-ghareb-egypt,"Ras Ghareb, Egypt",Egypt,,,,fiber_or_unknown,2024.0
2africa,2Africa,suez-egypt,"Suez, Egypt",Egypt,,,,fiber_or_unknown,2024.0
2africa,2Africa,zafarana-egypt,"Zafarana, Egypt",Egypt,,,,fiber_or_unknown,2024.0
2africa,2Africa,marseille-france,"Marseille, France",France,,,,fiber_or_unknown,2024.0
2africa,2Africa,libreville-gabon,"Libreville, Gabon",Gabon,,,,fiber_or_unknown,2024.0
2africa,2Africa,accra-ghana,"Accra, Ghana",Ghana,,,,fiber_or_unknown,2024.0
2africa,2Africa,tympaki-greece,"Tympaki, Greece",Greece,,,,fiber_or_unknown,2024.0
2africa,2Africa,mumbai-india,"Mumbai, India",India,,,,fiber_or_unknown,2024.0
2africa,2Africa,al-faw-iraq,"Al Faw, Iraq",Iraq,,,,fiber_or_unknown,2024.0
2africa,2Africa,genoa-italy,"Genoa, Italy",Italy,,,,fiber_or_unknown,2024.0
2africa,2Africa,mombasa-kenya,"Mombasa, Kenya",Kenya,,,,fiber_or_unknown,2024.0
2africa,2Africa,mtwapa-kenya,"Mtwapa, Kenya",Kenya,,,,fiber_or_unknown,2024.0
2africa,2Africa,kuwait-city-kuwait,"Kuwait City, Kuwait",Kuwait,,,,fiber_or_unknown,2024.0
2africa,2Africa,mahajanga-madagascar,"Mahajanga, Madagascar",Madagascar,,,,fiber_or_unknown,2024.0
2africa,2Africa,maputo-mozambique,"Maputo, Mozambique",Mozambique,,,,fiber_or_unknown,2024.0
2africa,2Africa,nacala-mozambique,"Nacala, Mozambique",Mozambique,,,,fiber_or_unknown,2024.0
2africa,2Africa,kwa-ibo-nigeria,"Kwa Ibo, Nigeria",Nigeria,,,,fiber_or_unknown,2024.0
2africa,2Africa,lagos-nigeria,"Lagos, Nigeria",Nigeria,,,,fiber_or_unknown,2024.0
2africa,2Africa,barka-oman,"Barka, Oman",Oman,,,,fiber_or_unknown,2024.0
2africa,2Africa,salalah-oman,"Salalah, Oman",Oman,,,,fiber_or_unknown,2024.0
2africa,2Africa,karachi-pakistan,"Karachi, Pakistan",Pakistan,,,,fiber_or_unknown,2024.0
2africa,2Africa,carcavelos-portugal,"Carcavelos, Portugal",Portugal,,,,fiber_or_unknown,2024.0
2africa,2Africa,doha-qatar,"Doha, Qatar",Qatar,,,,fiber_or_unknown,2024.0
2africa,2Africa,al-khobar-saudi-arabia,"Al Khobar, Saudi Arabia",Saudi Arabia,,,,fiber_or_unknown,2024.0
2africa,2Africa,duba-saudi-arabia,"Duba, Saudi Arabia",Saudi Arabia,,,,fiber_or_unknown,2024.0
2africa,2Africa,jeddah-saudi-arabia,"Jeddah, Saudi Arabia",Saudi Arabia,,,,fiber_or_unknown,2024.0
2africa,2Africa,yanbu-saudi-arabia,"Yanbu, Saudi Arabia",Saudi Arabia,,,,fiber_or_unknown,2024.0
2africa,2Africa,dakar-senegal,"Dakar, Senegal",Senegal,,,,fiber_or_unknown,2024.0
2africa,2Africa,carana-seychelles,"Carana, Seychelles",Seychelles,,,,fiber_or_unknown,2024.0
2africa,2Africa,berbera-somalia,"Berbera, Somalia",Somalia,,,,fiber_or_unknown,2024.0
2africa,2Africa,mogadishu-somalia,"Mogadishu, Somalia",Somalia,,,,fiber_or_unknown,2024.0
2africa,2Africa,amanzimtoti-south-africa,"Amanzimtoti, South Africa",South Africa,,,,fiber_or_unknown,2024.0
2africa,2Africa,duynefontein-south-africa,"Duynefontein, South Africa",South Africa,,,,fiber_or_unknown,2024.0
2africa,2Africa,gqeberha-south-africa,"Gqeberha, South Africa",South Africa,,,,fiber_or_unknown,2024.0
2africa,2Africa,yzerfontein-south-africa,"Yzerfontein, South Africa",South Africa,,,,fiber_or_unknown,2024.0
2africa,2Africa,barcelona-spain,"Barcelona, Spain",Spain,,,,fiber_or_unknown,2024.0
2africa,2Africa,gran-canaria-canary-islands-spain,"Gran Canaria, Canary Islands, Spain",Spain,,,,fiber_or_unknown,2024.0
2africa,2Africa,port-sudan-sudan,"Port Sudan, Sudan",Sudan,,,,fiber_or_unknown,2024.0
2africa,2Africa,dar-es-salaam-tanzania,"Dar Es Salaam, Tanzania",Tanzania,,,,fiber_or_unknown,2024.0
2africa,2Africa,abu-dhabi-united-arab-emirates,"Abu Dhabi, United Arab Emirates",United Arab Emirates,,,,fiber_or_unknown,2024.0
2africa,2Africa,kalba-united-arab-emirates,"Kalba, United Arab Emirates",United Arab Emirates,,,,fiber_or_unknown,2024.0
2africa,2Africa,bude-united-kingdom,"Bude, United Kingdom",United Kingdom,,,,fiber_or_unknown,2024.0
5-villages-6-islands,5 Villages 6 Islands,aogashima-japan,"Aogashima, Japan",Japan,,,,fiber_or_unknown,2019.0
5-villages-6-islands,5 Villages 6 Islands,hachijo-japan,"Hachijo, Japan",Japan,,,,fiber_or_unknown,2019.0
5-villages-6-islands,5 Villages 6 Islands,kozushima-japan,"Kozushima, Japan",Japan,,,,fiber_or_unknown,2019.0
5-villages-6-islands,5 Villages 6 Islands,mikurashima-japan,"Mikurashima, Japan",Japan,,,,fiber_or_unknown,2019.0
5-villages-6-islands,5 Villages 6 Islands,miyake-japan,"Miyake, Japan",Japan,,,,fiber_or_unknown,2019.0
5-villages-6-islands,5 Villages 6 Islands,niijima-japan,"Niijima, Japan",Japan,,,,fiber_or_unknown,2019.0
5-villages-6-islands,5 Villages 6 Islands,oshima-japan,"Oshima, Japan",Japan,,,,fiber_or_unknown,2019.0
5-villages-6-islands,5 Villages 6 Islands,shikinejima-japan,"Shikinejima, Japan",Japan,,,,fiber_or_unknown,2019.0
5-villages-6-islands,5 Villages 6 Islands,toshima-japan,"Toshima, Japan",Japan,,,,fiber_or_unknown,2019.0
acs-alaska-oregon-network-akorn,ACS Alaska-Oregon Network (AKORN),anchorage-ak-united-states,"Anchorage, AK, United States",United States,,,,fiber_or_unknown,2009.0
acs-alaska-oregon-network-akorn,ACS Alaska-Oregon Network (AKORN),florence-or-united-states,"Florence, OR, United States",United States,,,,fiber_or_unknown,2009.0
acs-alaska-oregon-network-akorn,ACS Alaska-Oregon Network (AKORN),homer-ak-united-states,"Homer, AK, United States",United States,,,,fiber_or_unknown,2009.0
acs-alaska-oregon-network-akorn,ACS Alaska-Oregon Network (AKORN),nikiski-ak-united-states,"Nikiski, AK, United States",United States,,,,fiber_or_unknown,2009.0
adamasia-cable-system-1,Adamasia Cable System 1,honiara-solomon-islands,"Honiara, Solomon Islands",Solomon Islands,,,,fiber_or_unknown,2027.0
aden-djibouti,Aden-Djibouti,djibouti-city-djibouti,"Djibouti City, Djibouti",Djibouti,,,,fiber_or_unknown,1994.0
aden-djibouti,Aden-Djibouti,aden-yemen,"Aden, Yemen",Yemen,,,,fiber_or_unknown,1994.0
adria-1,Adria-1,durres-albania,"Durres, Albania",Albania,,,,fiber_or_unknown,1996.0
adria-1,Adria-1,dubrovnik-croatia,"Dubrovnik, Croatia",Croatia,,,,fiber_or_unknown,1996.0
adria-1,Adria-1,corfu-greece,"Corfu, Greece",Greece,,,,fiber_or_unknown,1996.0
aec-1,AEC-1,killala-ireland,"Killala, Ireland",Ireland,,,,fiber_or_unknown,2016.0
aec-1,AEC-1,shirley-ny-united-states,"Shirley, NY, United States",United States,,,,fiber_or_unknown,2016.0
africa-1,Africa-1,bejaia-algeria,"Bejaia, Algeria",Algeria,,,,fiber_or_unknown,2026.0
africa-1,Africa-1,djibouti-city-djibouti,"Djibouti City, Djibouti",Djibouti,,,,fiber_or_unknown,2026.0
africa-1,Africa-1,ras-ghareb-egypt,"Ras Ghareb, Egypt",Egypt,,,,fiber_or_unknown,2026.0
africa-1,Africa-1,sidi-kerir-egypt,"Sidi Kerir, Egypt",Egypt,,,,fiber_or_unknown,2026.0
africa-1,Africa-1,marseille-france,"Marseille, France",France,,,,fiber_or_unknown,2026.0
africa-1,Africa-1,mombasa-kenya,"Mombasa, Kenya",Kenya,,,,fiber_or_unknown,2026.0
africa-1,Africa-1,karachi-pakistan,"Karachi, Pakistan",Pakistan,,,,fiber_or_unknown,2026.0
africa-1,Africa-1,duba-saudi-arabia,"Duba, Saudi Arabia",Saudi Arabia,,,,fiber_or_unknown,2026.0
africa-1,Africa-1,berbera-somalia,"Berbera, Somalia",Somalia,,,,fiber_or_unknown,2026.0
africa-1,Africa-1,kalba-united-arab-emirates,"Kalba, United Arab Emirates",United Arab Emirates,,,,fiber_or_unknown,2026.0
africa-1,Africa-1,al-hudaydah-yemen,"Al Hudaydah, Yemen",Yemen,,,,fiber_or_unknown,2026.0
africa-coast-to-europe-ace,Africa Coast to Europe (ACE),cotonou-benin,"Cotonou, Benin",Benin,,,,fiber_or_unknown,2012.0
